X,Y,Z,MINED,cu_bh_nn,cu_50,domain
157.5,882.5,262.5,9,0.682,0.739,2310
182.5,882.5,262.5,9,0.682,0.746,2310
207.5,857.5,262.5,9,0.503,0.75,2310
207.5,882.5,262.5,9,0.638,0.746,2310
232.5,832.5,262.5,9,0.778,0.735,2310
232.5,857.5,262.5,9,0.503,0.735,2310
232.5,882.5,262.5,9,0.705,0.731,2310
257.5,832.5,262.5,9,0.778,0.735,2310
257.5,857.5,262.5,9,0.631,0.735,2310
257.5,882.5,262.5,9,0.665,0.731,2310
282.5,807.5,262.5,9,0.709,0.721,2310
282.5,832.5,262.5,9,0.757,0.729,2310
282.5,857.5,262.5,9,0.658,0.729,2310
282.5,882.5,212.5,11,0.794,0.706,2310
282.5,882.5,262.5,9,0.642,0.71,2310
307.5,807.5,262.5,9,0.709,0.721,2310
307.5,832.5,262.5,9,0.772,0.729,2310
307.5,857.5,262.5,9,0.667,0.729,2310
307.5,882.5,212.5,11,0.794,0.706,2310
307.5,882.5,262.5,9,0.772,0.71,2310
332.5,782.5,262.5,9,0.819,0.701,2310
332.5,807.5,262.5,9,0.73,0.701,2310
332.5,832.5,262.5,9,0.623,0.704,2310
332.5,857.5,212.5,11,0.705,0.736,2310
332.5,857.5,262.5,9,0.723,0.704,2310
332.5,882.5,212.5,11,0.705,0.736,2310
332.5,882.5,262.5,9,0.778,0.694,2310
357.5,782.5,262.5,9,0.819,0.701,2310
357.5,807.5,262.5,9,0.842,0.701,2310
357.5,832.5,262.5,9,0.756,0.704,2310
357.5,857.5,212.5,11,0.718,0.736,2310
357.5,857.5,262.5,9,0.715,0.704,2310
357.5,882.5,212.5,11,0.765,0.736,2310
357.5,882.5,262.5,9,0.82,0.694,2310
382.5,757.5,262.5,9,0.819,0.708,2310
382.5,782.5,262.5,9,0.819,0.68,2310
382.5,807.5,262.5,9,0.636,0.68,2310
382.5,832.5,212.5,11,0.701,0.757,2310
382.5,832.5,262.5,9,0.555,0.662,2310
382.5,857.5,212.5,11,0.993,0.757,2310
382.5,857.5,262.5,9,0.689,0.662,2310
382.5,882.5,212.5,11,0.697,0.705,2310
382.5,882.5,262.5,9,0.62,0.703,2310
407.5,732.5,262.5,9,0.829,0.708,2310
407.5,757.5,262.5,9,0.829,0.708,2310
407.5,782.5,262.5,9,0.639,0.68,2310
407.5,807.5,262.5,9,0.632,0.68,2310
407.5,832.5,212.5,11,0.701,0.757,2310
407.5,832.5,262.5,9,0.632,0.662,2310
407.5,857.5,212.5,11,0.656,0.757,2310
407.5,857.5,262.5,9,0.689,0.662,2310
407.5,882.5,212.5,11,0.672,0.705,2310
432.5,732.5,262.5,9,0.744,0.667,2310
432.5,757.5,262.5,9,0.744,0.667,2310
432.5,782.5,262.5,9,0.712,0.64,2310
432.5,807.5,212.5,11,0.745,0.761,2310
432.5,807.5,262.5,9,0.751,0.64,2310
432.5,832.5,212.5,11,0.671,0.748,2310
432.5,832.5,262.5,9,0.771,0.664,2310
432.5,857.5,212.5,11,0.682,0.748,2310
432.5,857.5,262.5,9,0.616,0.664,2310
432.5,882.5,212.5,11,0.74,0.697,2310
457.5,707.5,262.5,9,0.621,0.729,2310
457.5,732.5,262.5,9,0.621,0.667,2310
457.5,757.5,262.5,9,0.642,0.667,2310
457.5,782.5,262.5,9,0.685,0.64,2310
457.5,807.5,212.5,11,0.714,0.761,2310
457.5,807.5,262.5,9,0.685,0.64,2310
457.5,832.5,212.5,11,0.756,0.748,2310
457.5,832.5,262.5,9,0.751,0.664,2310
457.5,857.5,212.5,11,0.771,0.748,2310
457.5,882.5,212.5,11,0.835,0.697,2310
482.5,682.5,262.5,9,0.575,0.675,2310
482.5,707.5,262.5,9,0.575,0.675,2310
482.5,732.5,262.5,9,0.565,0.664,2310
482.5,757.5,262.5,9,0.688,0.664,2310
482.5,782.5,262.5,9,0.611,0.65,2310
482.5,807.5,212.5,11,0.622,0.785,2310
482.5,807.5,262.5,9,0.738,0.65,2310
482.5,832.5,212.5,11,0.873,0.728,2310
482.5,857.5,212.5,11,0.762,0.728,2310
482.5,882.5,212.5,11,0.545,0.65,2310
507.5,682.5,262.5,9,0.575,0.675,2310
507.5,707.5,262.5,9,0.575,0.675,2310
507.5,732.5,262.5,9,0.631,0.664,2310
507.5,757.5,262.5,9,0.649,0.664,2310
507.5,782.5,212.5,11,0.679,0.785,2310
507.5,782.5,262.5,9,0.649,0.65,2310
507.5,807.5,212.5,11,0.679,0.785,2310
507.5,832.5,212.5,11,0.668,0.728,2310
507.5,857.5,212.5,11,0.757,0.728,2310
507.5,882.5,212.5,11,0.521,0.65,2310
532.5,657.5,262.5,9,0.537,0.732,2310
532.5,682.5,262.5,9,0.56,0.655,2310
532.5,707.5,262.5,9,0.56,0.655,2310
532.5,732.5,262.5,9,0.686,0.653,2310
532.5,757.5,262.5,9,0.655,0.653,2310
532.5,782.5,212.5,11,0.749,0.754,2310
532.5,782.5,262.5,9,0.661,0.655,2310
