# mA,domain,n_blastholes,n_inference_pts,percentile(2.15),percentile(8.87),percentile(25),percentile(50),percentile(75),percentile(91.13),percentile(97.85)
10,3026,1990,1814,0.058,0.094,0.144,0.203,0.273,0.356187,0.48002
10,3110,661,565,0.062252,0.088,0.127,0.169,0.227,0.297973,0.367244
10,3121,696,680,0.0405985,0.056,0.071,0.095,0.115,0.155,0.211204
10,3210,2353,2029,0.121,0.19,0.269,0.386,0.487,0.596116,0.736398
10,3221,926,669,0.075,0.099,0.146,0.231,0.357,0.503742,0.635294
10,3310,3444,2296,0.371,0.431,0.494,0.564,0.64225,0.748434,1.00026
10,3321,224,163,0.259483,0.319,0.384,0.465,0.573,0.755522,0.951714
10,3521,2959,2467,0.038,0.0606455,0.109,0.176,0.271,0.424,0.730022
10,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
11,2210,123,92,0.390652,0.428215,0.4615,0.505,0.5635,0.641928,0.735827
11,2310,2531,2310,0.43,0.501,0.57025,0.641,0.71775,0.804,0.914357
11,3016,86,73,0.366508,0.423159,0.493,0.621,1.025,1.39718,2.43219
11,3026,2014,1858,0.0589255,0.095,0.144,0.204,0.27275,0.356284,0.479074
11,3110,661,565,0.062252,0.088,0.127,0.169,0.227,0.297973,0.367244
11,3121,692,680,0.0405985,0.056,0.071,0.095,0.115,0.155,0.211204
11,3210,2346,2131,0.118,0.189,0.2685,0.389,0.491,0.607,0.757
11,3221,965,810,0.075787,0.106,0.1605,0.262,0.3785,0.505242,0.664032
11,3310,3641,2630,0.370524,0.435,0.497,0.566,0.646,0.757,1.03395
11,3321,227,187,0.259999,0.315487,0.381,0.46,0.5635,0.750509,0.930042
11,3521,2969,2645,0.0388245,0.063,0.114,0.1845,0.279,0.425566,0.726702
11,5121,1,12,0.09,0.09,0.0945,0.1065,0.11325,0.124146,0.128581
12,2210,123,96,0.39117,0.429279,0.46275,0.508,0.576,0.685294,0.769235
12,2310,2654,2606,0.432008,0.502063,0.571,0.6405,0.714,0.798,0.905992
12,3016,86,73,0.366508,0.423159,0.493,0.621,1.025,1.39718,2.43219
12,3026,2050,1886,0.059,0.095,0.145,0.205,0.273,0.356,0.479472
