X,Y,Z,MINED,cu_bh_nn,cu_50,domain
157.5,882.5,262.5,9,0.682,0.739,2310
182.5,882.5,262.5,9,0.682,0.746,2310
207.5,857.5,262.5,9,0.503,0.75,2310
207.5,882.5,262.5,9,0.638,0.746,2310
232.5,832.5,262.5,9,0.778,0.735,2310
232.5,857.5,262.5,9,0.503,0.735,2310
232.5,882.5,262.5,9,0.705,0.731,2310
257.5,832.5,262.5,9,0.778,0.735,2310
257.5,857.5,262.5,9,0.631,0.735,2310
257.5,882.5,262.5,9,0.665,0.731,2310
282.5,807.5,262.5,9,0.709,0.721,2310
282.5,832.5,262.5,9,0.757,0.729,2310
282.5,857.5,262.5,9,0.658,0.729,2310
282.5,882.5,262.5,9,0.642,0.71,2310
307.5,807.5,262.5,9,0.709,0.721,2310
307.5,832.5,262.5,9,0.772,0.729,2310
307.5,857.5,262.5,9,0.667,0.729,2310
307.5,882.5,262.5,9,0.772,0.71,2310
332.5,782.5,262.5,9,0.819,0.701,2310
332.5,807.5,262.5,9,0.73,0.701,2310
332.5,832.5,262.5,9,0.623,0.704,2310
332.5,857.5,262.5,9,0.723,0.704,2310
332.5,882.5,262.5,9,0.778,0.694,2310
357.5,782.5,262.5,9,0.819,0.701,2310
357.5,807.5,262.5,9,0.842,0.701,2310
357.5,832.5,262.5,9,0.756,0.704,2310
357.5,857.5,262.5,9,0.715,0.704,2310
357.5,882.5,262.5,9,0.82,0.694,2310
382.5,757.5,262.5,9,0.819,0.708,2310
382.5,782.5,262.5,9,0.819,0.68,2310
382.5,807.5,262.5,9,0.636,0.68,2310
382.5,832.5,262.5,9,0.555,0.662,2310
382.5,857.5,262.5,9,0.689,0.662,2310
382.5,882.5,262.5,9,0.62,0.703,2310
407.5,732.5,262.5,9,0.829,0.708,2310
407.5,757.5,262.5,9,0.829,0.708,2310
407.5,782.5,262.5,9,0.639,0.68,2310
407.5,807.5,262.5,9,0.632,0.68,2310
407.5,832.5,262.5,9,0.632,0.662,2310
407.5,857.5,262.5,9,0.689,0.662,2310
407.5,882.5,262.5,8,0.501,0.703,2310
432.5,732.5,262.5,9,0.744,0.667,2310
432.5,757.5,262.5,9,0.744,0.667,2310
432.5,782.5,262.5,9,0.712,0.64,2310
432.5,807.5,262.5,9,0.751,0.64,2310
432.5,832.5,262.5,9,0.771,0.664,2310
432.5,857.5,262.5,9,0.616,0.664,2310
432.5,882.5,262.5,8,0.709,0.693,2310
457.5,707.5,262.5,9,0.621,0.729,2310
457.5,732.5,262.5,9,0.621,0.667,2310
457.5,757.5,262.5,9,0.642,0.667,2310
457.5,782.5,262.5,9,0.685,0.64,2310
457.5,807.5,262.5,9,0.685,0.64,2310
457.5,832.5,262.5,9,0.751,0.664,2310
457.5,857.5,262.5,8,0.826,0.664,2310
457.5,882.5,262.5,8,0.56,0.693,2310
482.5,682.5,262.5,9,0.575,0.675,2310
482.5,707.5,262.5,9,0.575,0.675,2310
482.5,732.5,262.5,9,0.565,0.664,2310
482.5,757.5,262.5,9,0.688,0.664,2310
482.5,782.5,262.5,9,0.611,0.65,2310
482.5,807.5,262.5,9,0.738,0.65,2310
482.5,832.5,262.5,8,0.738,0.69,2310
482.5,857.5,262.5,8,0.727,0.69,2310
482.5,882.5,262.5,8,0.617,0.65,2310
507.5,682.5,262.5,9,0.575,0.675,2310
507.5,707.5,262.5,9,0.575,0.675,2310
507.5,732.5,262.5,9,0.631,0.664,2310
507.5,757.5,262.5,9,0.649,0.664,2310
507.5,782.5,262.5,9,0.649,0.65,2310
507.5,807.5,262.5,8,0.595,0.65,2310
507.5,832.5,262.5,8,0.654,0.69,2310
507.5,857.5,262.5,8,0.591,0.69,2310
507.5,882.5,262.5,8,0.587,0.65,2310
532.5,657.5,262.5,9,0.537,0.732,2310
532.5,682.5,262.5,9,0.56,0.655,2310
532.5,707.5,262.5,9,0.56,0.655,2310
532.5,732.5,262.5,9,0.686,0.653,2310
532.5,757.5,262.5,9,0.655,0.653,2310
532.5,782.5,262.5,9,0.661,0.655,2310
532.5,807.5,262.5,8,0.692,0.655,2310
532.5,832.5,262.5,8,0.618,0.674,2310
532.5,857.5,262.5,8,0.527,0.674,2310
532.5,882.5,262.5,8,0.644,0.631,2310
557.5,657.5,262.5,9,0.552,0.732,2310
557.5,682.5,262.5,9,0.552,0.655,2310
557.5,707.5,262.5,9,0.593,0.655,2310
557.5,732.5,262.5,9,0.623,0.653,2310
557.5,757.5,262.5,9,0.632,0.653,2310
557.5,782.5,262.5,8,0.718,0.655,2310
557.5,807.5,262.5,8,0.75,0.655,2310
557.5,832.5,262.5,8,0.637,0.674,2310
557.5,857.5,262.5,8,0.627,0.674,2310
557.5,882.5,262.5,8,0.591,0.631,2310
582.5,657.5,262.5,9,0.552,0.672,2310
582.5,682.5,262.5,9,0.552,0.698,2310
582.5,707.5,262.5,9,0.577,0.698,2310
582.5,732.5,262.5,9,0.645,0.684,2310
582.5,757.5,262.5,9,0.793,0.684,2310
