X,Y,Z,MINED,cu_bh_nn,cu_50,domain
282.5,882.5,212.5,11,0.794,0.706,2310
307.5,882.5,212.5,11,0.794,0.706,2310
332.5,857.5,212.5,11,0.705,0.736,2310
332.5,882.5,212.5,11,0.705,0.736,2310
357.5,857.5,212.5,11,0.718,0.736,2310
357.5,882.5,212.5,11,0.765,0.736,2310
382.5,832.5,212.5,11,0.701,0.757,2310
382.5,857.5,212.5,11,0.993,0.757,2310
382.5,882.5,212.5,11,0.697,0.705,2310
407.5,832.5,212.5,11,0.701,0.757,2310
407.5,857.5,212.5,11,0.656,0.757,2310
407.5,882.5,212.5,11,0.672,0.705,2310
432.5,807.5,212.5,11,0.745,0.761,2310
432.5,832.5,212.5,11,0.671,0.748,2310
432.5,857.5,212.5,11,0.682,0.748,2310
432.5,882.5,212.5,11,0.74,0.697,2310
457.5,807.5,212.5,11,0.714,0.761,2310
457.5,832.5,212.5,11,0.756,0.748,2310
457.5,857.5,212.5,11,0.771,0.748,2310
457.5,882.5,212.5,11,0.835,0.697,2310
482.5,807.5,212.5,11,0.622,0.785,2310
482.5,832.5,212.5,11,0.873,0.728,2310
482.5,857.5,212.5,11,0.762,0.728,2310
482.5,882.5,212.5,11,0.545,0.65,2310
507.5,782.5,212.5,11,0.679,0.785,2310
507.5,807.5,212.5,11,0.679,0.785,2310
507.5,832.5,212.5,11,0.668,0.728,2310
507.5,857.5,212.5,11,0.757,0.728,2310
507.5,882.5,212.5,11,0.521,0.65,2310
532.5,782.5,212.5,11,0.749,0.754,2310
532.5,807.5,212.5,11,0.749,0.754,2310
532.5,832.5,212.5,11,0.658,0.658,2310
532.5,857.5,212.5,11,0.607,0.658,2310
532.5,882.5,212.5,11,0.558,0.628,2310
557.5,782.5,212.5,11,0.734,0.754,2310
557.5,807.5,212.5,11,0.734,0.754,2310
557.5,832.5,212.5,11,0.606,0.658,2310
557.5,857.5,212.5,11,0.484,0.658,2310
557.5,882.5,212.5,11,0.599,0.628,2310
582.5,782.5,212.5,11,0.591,0.702,2310
582.5,807.5,212.5,11,0.63,0.702,2310
582.5,832.5,212.5,11,0.572,0.641,2310
582.5,857.5,212.5,11,0.527,0.641,2310
582.5,882.5,212.5,11,0.549,0.641,2310
607.5,732.5,212.5,11,0.615,0.734,2310
607.5,757.5,212.5,11,0.591,0.734,2310
607.5,782.5,212.5,11,0.591,0.702,2310
607.5,807.5,212.5,11,0.777,0.702,2310
607.5,832.5,212.5,11,0.684,0.641,2310
607.5,857.5,212.5,11,0.609,0.641,2310
607.5,882.5,212.5,11,0.524,0.641,2310
632.5,732.5,212.5,11,0.621,0.698,2310
632.5,757.5,212.5,11,0.621,0.698,2310
632.5,782.5,212.5,11,0.658,0.677,2310
632.5,807.5,212.5,11,0.772,0.677,2310
632.5,832.5,212.5,11,0.576,0.644,2310
632.5,857.5,212.5,11,0.595,0.644,2310
632.5,882.5,212.5,11,0.587,0.643,2310
657.5,707.5,212.5,11,0.678,0.693,2310
657.5,732.5,212.5,11,0.621,0.698,2310
657.5,757.5,212.5,11,0.621,0.698,2310
657.5,782.5,212.5,11,0.621,0.677,2310
657.5,807.5,212.5,11,0.772,0.677,2310
657.5,832.5,212.5,11,0.576,0.644,2310
657.5,857.5,212.5,11,0.71,0.644,2310
657.5,882.5,212.5,10,0.507,0.643,2310
682.5,682.5,212.5,11,0.574,0.675,2310
682.5,707.5,212.5,11,0.68,0.675,2310
682.5,732.5,212.5,11,0.795,0.635,2310
682.5,757.5,212.5,11,0.675,0.635,2310
682.5,782.5,212.5,11,0.675,0.646,2310
682.5,807.5,212.5,11,0.738,0.646,2310
682.5,832.5,212.5,11,0.742,0.649,2310
682.5,857.5,212.5,11,0.681,0.649,2310
682.5,882.5,212.5,10,0.641,0.677,2310
707.5,682.5,212.5,11,0.627,0.675,2310
707.5,707.5,212.5,11,0.588,0.675,2310
707.5,732.5,212.5,11,0.795,0.635,2310
707.5,757.5,212.5,11,0.795,0.635,2310
707.5,782.5,212.5,11,0.795,0.646,2310
707.5,807.5,212.5,11,0.671,0.646,2310
707.5,832.5,162.5,12,0.771,0.705,2310
707.5,832.5,212.5,11,0.617,0.649,2310
707.5,857.5,212.5,10,0.811,0.649,2310
707.5,882.5,212.5,10,0.575,0.677,2310
732.5,682.5,212.5,11,0.588,0.657,2310
732.5,707.5,212.5,11,0.588,0.657,2310
732.5,732.5,212.5,11,0.721,0.608,2310
732.5,757.5,212.5,11,0.721,0.608,2310
732.5,782.5,212.5,11,0.629,0.65,2310
732.5,807.5,162.5,12,0.645,0.69,2310
732.5,807.5,212.5,11,0.71,0.65,2310
732.5,832.5,162.5,12,0.695,0.73,2310
732.5,832.5,212.5,11,0.693,0.662,2310
732.5,857.5,162.5,12,0.695,0.73,2310
732.5,857.5,212.5,10,0.603,0.662,2310
732.5,882.5,162.5,12,0.624,0.697,2310
732.5,882.5,212.5,10,0.538,0.697,2310
757.5,657.5,212.5,11,0.635,0.747,2310
757.5,682.5,212.5,11,0.588,0.657,2310
757.5,707.5,212.5,11,0.588,0.657,2310
757.5,732.5,212.5,11,0.622,0.608,2310
757.5,757.5,212.5,11,0.71,0.608,2310
757.5,782.5,162.5,12,0.642,0.69,2310
757.5,782.5,212.5,11,0.627,0.65,2310
757.5,807.5,162.5,12,0.688,0.69,2310
757.5,807.5,212.5,11,0.688,0.65,2310
757.5,832.5,162.5,12,0.713,0.73,2310
757.5,832.5,212.5,10,0.665,0.662,2310
757.5,857.5,162.5,12,0.641,0.73,2310
757.5,857.5,212.5,10,0.708,0.662,2310
757.5,882.5,162.5,12,0.641,0.697,2310
757.5,882.5,212.5,10,0.52,0.697,2310
