X,Y,Z,MINED,cu_bh_nn,cu_50,domain
107.5,607.5,462.5,3,0.391,0.564,2210
132.5,582.5,462.5,3,0.517,0.471,2210
132.5,607.5,462.5,3,0.437,0.471,2210
132.5,882.5,362.5,1,0.791,0.722,2310
157.5,857.5,362.5,1,0.471,0.639,2310
157.5,882.5,362.5,1,0.72,0.722,2310
182.5,832.5,362.5,1,0.451,0.702,2310
182.5,857.5,362.5,1,0.691,0.702,2310
182.5,882.5,362.5,1,0.717,0.709,2310
207.5,832.5,362.5,1,0.655,0.702,2310
207.5,857.5,362.5,1,0.792,0.702,2310
207.5,882.5,362.5,1,0.619,0.709,2310
232.5,807.5,362.5,1,0.795,0.643,2310
232.5,832.5,362.5,1,0.795,0.706,2310
232.5,857.5,362.5,1,0.792,0.706,2310
232.5,882.5,362.5,1,0.834,0.677,2310
257.5,782.5,362.5,1,0.776,0.643,2310
257.5,807.5,362.5,1,0.757,0.643,2310
257.5,832.5,362.5,1,0.766,0.706,2310
257.5,857.5,362.5,1,0.723,0.706,2310
257.5,882.5,362.5,1,0.678,0.677,2310
282.5,782.5,362.5,1,0.776,0.744,2310
282.5,807.5,362.5,1,0.798,0.744,2310
282.5,832.5,362.5,1,0.695,0.697,2310
282.5,857.5,362.5,1,0.723,0.697,2310
282.5,882.5,362.5,1,0.628,0.668,2310
307.5,757.5,362.5,1,0.758,0.706,2310
307.5,782.5,362.5,1,0.752,0.744,2310
307.5,807.5,362.5,1,0.659,0.744,2310
307.5,832.5,362.5,1,0.731,0.697,2310
307.5,857.5,362.5,1,0.605,0.697,2310
307.5,882.5,362.5,1,0.567,0.668,2310
332.5,757.5,362.5,1,0.758,0.671,2310
332.5,782.5,362.5,1,0.758,0.672,2310
332.5,807.5,362.5,1,0.7,0.672,2310
332.5,832.5,362.5,1,0.572,0.672,2310
332.5,857.5,362.5,1,0.729,0.672,2310
332.5,882.5,362.5,1,0.624,0.68,2310
357.5,732.5,362.5,1,0.711,0.671,2310
357.5,757.5,362.5,1,0.664,0.671,2310
357.5,782.5,362.5,1,0.76,0.672,2310
357.5,807.5,362.5,1,0.979,0.672,2310
357.5,832.5,362.5,1,0.647,0.672,2310
357.5,857.5,362.5,1,0.894,0.672,2310
357.5,882.5,362.5,1,0.637,0.68,2310
382.5,732.5,362.5,1,0.711,0.684,2310
382.5,757.5,362.5,1,0.567,0.684,2310
382.5,782.5,362.5,1,0.729,0.656,2310
382.5,807.5,362.5,1,0.616,0.656,2310
382.5,832.5,362.5,1,0.729,0.665,2310
382.5,857.5,362.5,1,0.679,0.665,2310
382.5,882.5,362.5,1,0.765,0.682,2310
407.5,707.5,362.5,1,0.796,0.679,2310
407.5,732.5,362.5,1,0.718,0.684,2310
407.5,757.5,362.5,1,0.521,0.684,2310
407.5,782.5,362.5,1,0.622,0.656,2310
407.5,807.5,362.5,1,0.689,0.656,2310
407.5,832.5,362.5,1,0.677,0.665,2310
407.5,857.5,362.5,1,0.764,0.665,2310
407.5,882.5,362.5,1,0.607,0.682,2310
