X,Y,Z,MINED,cu_bh_nn,cu_50,domain
707.5,832.5,162.5,12,0.771,0.705,2310
732.5,807.5,162.5,12,0.645,0.69,2310
732.5,832.5,162.5,12,0.695,0.73,2310
732.5,857.5,162.5,12,0.695,0.73,2310
732.5,882.5,162.5,12,0.624,0.697,2310
757.5,782.5,162.5,12,0.642,0.69,2310
757.5,807.5,162.5,12,0.688,0.69,2310
757.5,832.5,162.5,12,0.713,0.73,2310
757.5,857.5,162.5,12,0.641,0.73,2310
757.5,882.5,162.5,12,0.641,0.697,2310
782.5,782.5,162.5,12,0.646,0.697,2310
782.5,807.5,162.5,12,0.653,0.697,2310
782.5,832.5,162.5,12,0.653,0.708,2310
782.5,857.5,162.5,12,0.662,0.708,2310
782.5,882.5,162.5,12,0.674,0.669,2310
807.5,757.5,162.5,12,0.613,0.685,2310
807.5,782.5,162.5,12,0.602,0.697,2310
807.5,807.5,162.5,12,0.599,0.697,2310
807.5,832.5,162.5,12,0.518,0.708,2310
807.5,857.5,162.5,12,0.518,0.708,2310
807.5,882.5,162.5,12,0.67,0.669,2310
832.5,757.5,162.5,12,0.608,0.686,2310
832.5,782.5,162.5,12,0.542,0.724,2310
832.5,807.5,162.5,12,0.542,0.724,2310
832.5,832.5,162.5,12,0.655,0.692,2310
832.5,857.5,162.5,12,0.605,0.692,2310
832.5,882.5,162.5,12,0.753,0.645,2310
857.5,732.5,162.5,12,0.555,0.686,2310
857.5,757.5,162.5,12,0.623,0.686,2310
857.5,782.5,162.5,12,0.601,0.724,2310
857.5,807.5,162.5,12,0.569,0.724,2310
857.5,832.5,162.5,12,0.569,0.692,2310
857.5,857.5,162.5,12,0.636,0.692,2310
857.5,882.5,162.5,12,0.637,0.645,2310
882.5,732.5,162.5,12,0.616,0.692,2310
882.5,757.5,162.5,12,0.635,0.692,2310
882.5,782.5,162.5,12,0.635,0.739,2310
882.5,807.5,162.5,12,0.724,0.739,2310
882.5,832.5,162.5,12,0.598,0.695,2310
882.5,857.5,162.5,12,0.646,0.695,2310
882.5,882.5,162.5,12,0.646,0.634,2310
907.5,707.5,162.5,12,0.661,0.652,2310
907.5,732.5,162.5,12,0.692,0.692,2310
907.5,757.5,162.5,12,0.706,0.692,2310
907.5,782.5,162.5,12,0.635,0.739,2310
907.5,807.5,162.5,12,0.663,0.739,2310
907.5,832.5,162.5,12,0.62,0.695,2310
907.5,857.5,162.5,12,0.688,0.695,2310
907.5,882.5,162.5,12,0.561,0.634,2310
932.5,707.5,162.5,12,0.802,0.633,2310
932.5,732.5,162.5,12,0.618,0.695,2310
932.5,757.5,162.5,12,0.618,0.695,2310
932.5,782.5,162.5,12,0.817,0.721,2310
932.5,807.5,162.5,12,0.662,0.721,2310
932.5,832.5,162.5,12,0.652,0.692,2310
932.5,857.5,162.5,12,0.633,0.692,2310
932.5,882.5,162.5,12,0.532,0.611,2310
957.5,707.5,162.5,12,0.836,0.633,2310
957.5,732.5,162.5,12,0.651,0.695,2310
957.5,757.5,162.5,12,0.678,0.695,2310
957.5,782.5,162.5,12,0.817,0.721,2310
957.5,807.5,162.5,12,0.778,0.721,2310
957.5,832.5,162.5,12,0.652,0.692,2310
957.5,857.5,162.5,12,0.652,0.692,2310
957.5,882.5,162.5,12,0.613,0.611,2310
982.5,707.5,162.5,12,0.643,0.616,2310
982.5,732.5,162.5,12,0.643,0.698,2310
982.5,757.5,162.5,12,0.678,0.698,2310
982.5,782.5,162.5,12,0.815,0.739,2310
982.5,807.5,162.5,12,0.769,0.739,2310
982.5,832.5,162.5,12,0.664,0.683,2310
982.5,857.5,162.5,12,0.891,0.683,2310
1007.5,707.5,162.5,12,0.661,0.616,2310
1007.5,732.5,162.5,12,0.63,0.698,2310
1007.5,757.5,162.5,12,0.659,0.698,2310
1007.5,782.5,162.5,12,0.631,0.739,2310
1007.5,807.5,162.5,12,0.8,0.739,2310
1007.5,832.5,162.5,12,0.719,0.683,2310
1032.5,707.5,162.5,12,0.671,0.609,2310
1032.5,732.5,162.5,12,0.63,0.693,2310
1032.5,757.5,162.5,12,0.725,0.693,2310
1032.5,782.5,162.5,12,0.621,0.729,2310
1032.5,807.5,162.5,12,0.731,0.729,2310
1032.5,832.5,162.5,12,0.722,0.683,2310
1057.5,732.5,162.5,12,0.71,0.693,2310
1057.5,757.5,162.5,12,0.87,0.693,2310
1057.5,782.5,162.5,12,0.702,0.729,2310
1057.5,807.5,162.5,12,0.751,0.729,2310
1057.5,832.5,162.5,12,0.736,0.683,2310
1082.5,657.5,162.5,14,0.667,0.602,2310
1082.5,682.5,162.5,14,0.691,0.619,2310
1082.5,707.5,162.5,12,0.691,0.619,2310
1082.5,732.5,162.5,12,0.691,0.68,2310
1082.5,757.5,162.5,12,0.662,0.68,2310
1082.5,782.5,162.5,12,0.656,0.749,2310
1082.5,807.5,162.5,12,0.628,0.749,2310
1107.5,657.5,162.5,14,0.803,0.602,2310
1107.5,682.5,162.5,14,0.803,0.619,2310
1107.5,707.5,162.5,12,0.803,0.619,2310
1107.5,732.5,162.5,12,0.694,0.68,2310
1107.5,757.5,162.5,12,0.682,0.68,2310
1107.5,782.5,162.5,12,0.579,0.749,2310
1107.5,807.5,162.5,12,0.731,0.749,2310
1132.5,632.5,162.5,14,0.495,0.586,2310
1132.5,657.5,162.5,14,0.531,0.586,2310
1132.5,682.5,162.5,14,0.531,0.594,2310
1132.5,707.5,162.5,12,0.649,0.594,2310
1132.5,732.5,162.5,12,0.636,0.668,2310
1132.5,757.5,162.5,12,0.76,0.668,2310
1132.5,782.5,162.5,12,0.626,0.686,2310
1157.5,632.5,162.5,14,0.542,0.586,2310
1157.5,657.5,162.5,14,0.542,0.586,2310
1157.5,682.5,162.5,12,0.531,0.594,2310
1157.5,707.5,162.5,12,0.634,0.594,2310
1157.5,732.5,162.5,12,0.666,0.668,2310
1157.5,757.5,162.5,12,0.556,0.668,2310
1157.5,782.5,162.5,12,0.63,0.686,2310
1182.5,607.5,162.5,14,0.441,0.571,2310
1182.5,632.5,162.5,14,0.542,0.588,2310
1182.5,657.5,162.5,14,0.542,0.588,2310
1182.5,682.5,162.5,12,0.531,0.604,2310
1182.5,707.5,162.5,12,0.634,0.604,2310
1182.5,732.5,162.5,12,0.598,0.645,2310
1182.5,757.5,162.5,12,0.677,0.645,2310
1182.5,782.5,162.5,12,0.684,0.688,2310
1207.5,607.5,162.5,14,0.61,0.571,2310
1207.5,632.5,162.5,14,0.547,0.588,2310
